"seqnames","start","end","width","strand","name","score","sgGroup","giID","names","cluster","hierarchical_order","ProximalPeaks","GR_overlap_names","name.1","score.1","SYMBOL","distanceToTSS"
"chr1",1508087,1512087,4001,"+","chr1:1508899-1511276",0,"ZBTB1Peaks.bed","giID484","chr1:1508899-1511276","1",252,0,"no_overlap",NA,NA,"SSU72",162
"chr1",2052372,2056372,4001,"+","chr1:2052480-2056264",0,"ZBTB1Peaks.bed","giID459","chr1:2052480-2056264","1",37,0,"no_overlap",NA,NA,"C1orf86",71841
"chr1",2052372,2056372,4001,"+","chr1:2052480-2056264",0,"ZBTB1Peaks.bed","giID459","chr1:2052480-2056264","1",37,0,"no_overlap",NA,NA,"PRKCZ",72463
"chr1",2157644,2161644,4001,"+","chr1:2158142-2161146",0,"ZBTB1Peaks.bed","giID451","chr1:2158142-2161146","1",25,0,"no_overlap",NA,NA,"SKI",-490
"chr1",9469096,9473096,4001,"+","chr1:9470250-9471943",0,"ZBTB1Peaks.bed","giID470","chr1:9470250-9471943","1",18,1,"ProximalPeaks","chr1:9470331-9471590",0,"SLC25A33",-128445
"chr1",9469096,9473096,4001,"+","chr1:9470250-9471943",0,"ZBTB1Peaks.bed","giID470","chr1:9470250-9471943","1",18,1,"ProximalPeaks","chr1:9470331-9471590",0,"SPSB1",118157
"chr1",10990346,10994346,4001,"+","chr1:10991524-10993169",0,"ZBTB1Peaks.bed","giID496","chr1:10991524-10993169","1",50,1,"ProximalPeaks","chr1:10991871-10992872",0,"CASZ1",-135641
"chr1",10990346,10994346,4001,"+","chr1:10991524-10993169",0,"ZBTB1Peaks.bed","giID496","chr1:10991524-10993169","1",50,1,"ProximalPeaks","chr1:10991871-10992872",0,"TARDBP",-80353
"chr1",12343992,12347992,4001,"+","chr1:12345233-12346752",0,"ZBTB1Peaks.bed","giID490","chr1:12345233-12346752","1",172,0,"no_overlap",NA,NA,"VPS13D",55868
"chr1",12343992,12347992,4001,"+","chr1:12345233-12346752",0,"ZBTB1Peaks.bed","giID490","chr1:12345233-12346752","1",172,0,"no_overlap",NA,NA,"DHRS3",331745
"chr1",12492603,12496603,4001,"+","chr1:12493976-12495231",0,"ZBTB1Peaks.bed","giID471","chr1:12493976-12495231","1",531,0,"no_overlap",NA,NA,"DHRS3",183134
"chr1",12492603,12496603,4001,"+","chr1:12493976-12495231",0,"ZBTB1Peaks.bed","giID471","chr1:12493976-12495231","1",531,0,"no_overlap",NA,NA,"VPS13D",204479
"chr1",16419379,16423379,4001,"+","chr1:16420736-16422023",0,"ZBTB1Peaks.bed","giID477","chr1:16420736-16422023","1",90,0,"no_overlap",NA,NA,"FAM131C",-21258
"chr1",16419379,16423379,4001,"+","chr1:16420736-16422023",0,"ZBTB1Peaks.bed","giID477","chr1:16420736-16422023","1",90,0,"no_overlap",NA,NA,"EPHA2",61203
"chr1",21042561,21046561,4001,"+","chr1:21043789-21045333",0,"ZBTB1Peaks.bed","giID452","chr1:21043789-21045333","1",76,1,"ProximalPeaks","chr1:21044661-21045865",0,"KIF17",-51
"chr1",23492806,23496806,4001,"+","chr1:23493800-23495812",0,"ZBTB1Peaks.bed","giID472","chr1:23493800-23495812","1",276,0,"no_overlap",NA,NA,"LUZP1",9495
"chr1",23492806,23496806,4001,"+","chr1:23493800-23495812",0,"ZBTB1Peaks.bed","giID472","chr1:23493800-23495812","1",276,0,"no_overlap",NA,NA,"KDM1A",148820
"chr1",26732690,26736690,4001,"+","chr1:26733392-26735989",0,"ZBTB1Peaks.bed","giID488","chr1:26733392-26735989","1",497,0,"no_overlap",NA,NA,"LIN28A",-2579
"chr1",31902912,31906912,4001,"+","chr1:31904028-31905797",0,"ZBTB1Peaks.bed","giID466","chr1:31904028-31905797","1",337,0,"no_overlap",NA,NA,"TINAGL1",-137224
"chr1",31902912,31906912,4001,"+","chr1:31904028-31905797",0,"ZBTB1Peaks.bed","giID466","chr1:31904028-31905797","1",337,0,"no_overlap",NA,NA,"SERINC2",22500
"chr1",31969996,31973996,4001,"+","chr1:31971100-31972892",0,"ZBTB1Peaks.bed","giID465","chr1:31971100-31972892","1",266,0,"no_overlap",NA,NA,"TINAGL1",-70140
"chr1",31969996,31973996,4001,"+","chr1:31971100-31972892",0,"ZBTB1Peaks.bed","giID465","chr1:31971100-31972892","1",266,0,"no_overlap",NA,NA,"SERINC2",89584
"chr1",38228253,38232253,4001,"+","chr1:38229623-38230883",0,"ZBTB1Peaks.bed","giID485","chr1:38229623-38230883","1",542,0,"no_overlap",NA,NA,"EPHA10",485
"chr1",39023316,39027316,4001,"+","chr1:39024551-39026081",0,"ZBTB1Peaks.bed","giID457","chr1:39024551-39026081","1",23,0,"no_overlap",NA,NA,"POU3F1",-512866
"chr1",39023316,39027316,4001,"+","chr1:39024551-39026081",0,"ZBTB1Peaks.bed","giID457","chr1:39024551-39026081","1",23,0,"no_overlap",NA,NA,"RRAGC",300179
"chr1",42654824,42658824,4001,"+","chr1:42655502-42658147",0,"ZBTB1Peaks.bed","giID450","chr1:42655502-42658147","1",393,0,"no_overlap",NA,NA,"GUCA2A",-26435
"chr1",42654824,42658824,4001,"+","chr1:42655502-42658147",0,"ZBTB1Peaks.bed","giID450","chr1:42655502-42658147","1",393,0,"no_overlap",NA,NA,"FOXJ3",143812
"chr1",44494345,44498345,4001,"+","chr1:44494790-44497900",0,"ZBTB1Peaks.bed","giID473","chr1:44494790-44497900","2",561,1,"ProximalPeaks","chr1:44495354-44497783",0,"KLF17",-88177
"chr1",44494345,44498345,4001,"+","chr1:44494790-44497900",0,"ZBTB1Peaks.bed","giID473","chr1:44494790-44497900","2",561,1,"ProximalPeaks","chr1:44495354-44497783",0,"SLC6A9",-13348
"chr1",58385965,58389965,4001,"+","chr1:58387303-58388627",0,"ZBTB1Peaks.bed","giID500","chr1:58387303-58388627","1",407,0,"no_overlap",NA,NA,"DAB1",-498236
"chr1",58385965,58389965,4001,"+","chr1:58387303-58388627",0,"ZBTB1Peaks.bed","giID500","chr1:58387303-58388627","1",407,0,"no_overlap",NA,NA,"OMA1",624507
"chr1",61520893,61524893,4001,"+","chr1:61522091-61523696",0,"ZBTB1Peaks.bed","giID469","chr1:61522091-61523696","1",253,0,"no_overlap",NA,NA,"NFIA",-24641
"chr1",62416029,62420029,4001,"+","chr1:62417273-62418786",0,"ZBTB1Peaks.bed","giID497","chr1:62417273-62418786","1",382,1,"ProximalPeaks","chr1:62418130-62419131",0,"L1TD1",-242474
"chr1",62416029,62420029,4001,"+","chr1:62417273-62418786",0,"ZBTB1Peaks.bed","giID497","chr1:62417273-62418786","1",382,1,"ProximalPeaks","chr1:62418130-62419131",0,"INADL",209880
